treatment_group,control_group,bias,ess,elapsed,cpu_time
152909102,070911101,0.6925541034299055,0.01,0.07599999999990814,0.07600000000002183
152909102,070912106,0.16542514671050873,0.013513513513513514,0.07100000000002638,0.06999999999993634
152909102,071902112,0.4462202023545384,0.013333333333333334,0.06700000000000728,0.06700000000000728
152909102,071902119,0.4013808648855053,0.02,0.06399999999996453,0.06400000000007822
152909102,071902148,0.36311921479284276,0.019230769230769232,0.07500000000004547,0.07499999999995532
152909102,071902156,0.13654781394388285,0.030303030303030304,0.05899999999996908,0.057999999999992724
152909102,071902161,0.5809143864075158,0.011363636363636364,0.07400000000006912,0.07399999999995543
152909102,071902163,0.40706875582815577,0.014705882352941176,0.06899999999995998,0.06800000000009732
152909102,071905117,0.19773405505291994,0.011494252873563218,0.08299999999996999,0.08299999999996999
152909102,071905122,0.5284968068046748,0.011363636363636364,0.07500000000004547,0.07499999999993179
152909102,071909104,0.041440829147199695,0.012987012987012988,0.06600000000003092,0.06700000000000728
152909102,071909123,0.9635620621909178,0.008064516129032258,0.08500000000003638,0.08500000000003638
152909102,071909130,1.0211606532328992,0.008064516129032258,0.0989999999999327,0.09799999999995634
152909102,072908001,0.06904238775273698,0.037037037037037035,0.05600000000004002,0.056000000000063554
152909102,073901001,0.17208584243519556,0.027777777777777776,0.05899999999996908,0.05899999999996908
152909102,074904001,0.047378371697106215,0.043478260869565216,0.05600000000004002,0.05499999999997396
152909102,077901101,0.2599111242609386,0.02,0.06200000000001182,0.06200000000001182
152909102,079907111,0.2567924620327827,0.015625,0.07799999999997453,0.07800000000008822
152909102,079907115,0.776474562732617,0.017241379310344827,0.06399999999996453,0.06299999999998818
152909102,079907149,0.11318966885264478,0.010638297872340425,0.07500000000004547,0.07599999999990814
152909102,079907155,0.032541325828633075,0.00847457627118644,0.08299999999996999,0.08200000000010732
152909102,079907156,1.7627352520508308,0.008064516129032258,0.11199999999996635,0.11199999999996635
152909102,081906101,4.499389069383676e-4,0.06666666666666667,0.05400000000008731,0.05299999999999727
152909102,084910116,0.41109487400151357,0.012658227848101266,0.07200000000000273,0.07200000000000273
152909102,084910123,0.05977598222867637,0.008064516129032258,0.08899999999994179,0.08899999999994179
152909102,084910128,0.4669797563281657,0.008771929824561403,0.08199999999999363,0.08199999999999363
152909102,084910130,0.16869917839877552,0.010309278350515464,0.08800000000007913,0.08699999999998909
152909102,086901103,0.0023914455123707997,0.05,0.053999999999973625,0.05300000000011096
