treatment_group,control_group,bias,ess,elapsed,cpu_time
011901109,001906102,0.011514051913040002,0.041666666666666664,0.02200000000000024,0.12299999999999989
011901109,001909101,0.02205877734758377,0.03125,0.014000000000001123,0.013999999999999346
011901109,003903120,0.020290536637101786,0.013513513513513514,0.005999999999998451,0.005000000000002558
011901109,003903123,0.017456124131530637,0.015151515151515152,0.005000000000000782,0.005000000000002558
011901109,005901101,0.019037681524097683,0.02857142857142857,0.005000000000000782,0.003999999999997783
011901109,007906101,0.00434603723759408,0.008064516129032258,0.005999999999998451,0.0070000000000014495
011901109,010902102,0.004265591717010353,0.014285714285714285,0.006000000000000227,0.006000000000000227
011901109,013902101,1.9255430019549102e-4,0.05555555555555555,0.004000000000001336,0.003999999999997783
011901109,014803002,0.008921656118509036,0.05555555555555555,0.0039999999999995595,0.004000000000001336
011901109,014804006,0.019911794415283457,0.00909090909090909,0.006999999999999673,0.0070000000000014495
011901109,014903109,0.005126676285171494,0.01020408163265306,0.006000000000000227,0.005999999999996675
011901109,014906125,0.016707140000388976,0.015384615384615385,0.004999999999999005,0.005000000000002558
011901109,014906132,9.562383392784923e-4,0.013513513513513514,0.004999999999999005,0.006000000000000227
011901109,014906140,0.004280412382683507,0.008064516129032258,0.0070000000000014495,0.006999999999997897
011901109,014906142,0.007484144542248661,0.008064516129032258,0.007999999999999119,0.0070000000000014495
011901109,014907102,0.014302613735477698,0.015384615384615385,0.005000000000000782,0.004999999999999005
011901109,015807102,0.0030592688803880996,0.05,0.0039999999999995595,0.004999999999999005
011901109,015822004,0.013305086931288623,0.02631578947368421,0.004999999999999005,0.004000000000001336
011901109,015822008,0.004895640709171256,0.025,0.005000000000000782,0.004999999999999005
011901109,015827002,0.006430412418807707,0.012048192771084338,0.006999999999999673,0.0070000000000014495
011901109,015831003,0.012647315817142735,0.01694915254237288,0.006000000000000227,0.006000000000000227
011901109,015834103,0.015587760565740072,0.02,0.005000000000000782,0.004999999999999005
011901109,015835008,0.016659210911508016,0.00847457627118644,0.006999999999999673,0.0070000000000014495
011901109,015904116,0.0024551300994843928,0.017857142857142856,0.004999999999999005,0.004999999999999005
011901109,015905112,0.002222668198783473,0.014925373134328358,0.006000000000000227,0.006000000000000227
011901109,015907120,0.009017429178465264,0.01694915254237288,0.005000000000000782,0.004999999999999005
011901109,015907127,0.017732439556220947,0.058823529411764705,0.004999999999999005,0.004000000000001336
011901109,015907129,0.015692821098623577,0.0125,0.005000000000000782,0.004999999999999005
011901109,015907132,0.005011995745619835,0.024390243902439025,0.004999999999999005,0.004999999999999005
011901109,015907135,0.006705714713162392,0.017857142857142856,0.006000000000000227,0.004999999999999005
011901109,015907137,0.02154023353024548,0.012195121951219513,0.006000000000000227,0.007000000000000228
011901109,015907142,0.030512406895790156,0.043478260869565216,0.006000000000000227,0.006000000000002559
011901109,015907144,0.02162279643596754,0.011904761904761904,0.008000000000000895,0.007999999999997898
011901109,015907161,0.007670945566310983,0.015625,0.006999999999999673,0.006999999999999007
011901109,015907168,0.016141730840450563,0.015873015873015872,0.006999999999999673,0.007000000000000117
011901109,015908104,0.00488213403797888,0.015625,0.006999999999999673,0.006000000000001227
011901109,015908118,0.007273620763387778,1.1272727272727272,0.005000000000000782,0.004999999999999005
011901109,015910110,0.017247995881462974,0.015384615384615385,0.006999999999999673,0.00700000000000256
011901109,015910126,0.010516952005988012,0.011494252873563218,0.007999999999999119,0.007999999999999119
011901109,015911104,0.014276926686285885,0.01282051282051282,0.0070000000000014495,0.007999999999997898
011901109,015912109,0.0016630350422686124,0.015151515151515152,0.007999999999999119,0.007000000000000228
011901109,015915104,0.005912881180892504,0.015625,0.006999999999999673,0.00700000000000256
